,date,title_translate,title,searchCount,rank,words_list,"Coron-Related ( 1 yes, 0 not ) "
28,2020/01/01,Yang Mi RAP,杨幂的RAP,0,29,"['杨幂', '的', 'RAP']",
29,2020/01/01,Down 0.5 percentage points quasi-central bank,央行降准0.5百分点,0,30,"['央行', '降准', '0.5', '百分', '分点', '百分点']",
30,2020/01/01,Mike party denied the derailed,贺军翔方否认出轨,0,31,"['贺军翔', '方', '否认', '出轨']",
31,2020/01/01,Li Tie will be exposed football coach,曝李铁将执教国足,0,32,"['曝', '李铁', '将', '执教', '国', '足']",
32,2020/01/01,Lu Lu Xin is sweet haircut,李小璐为甜馨剪发,0,33,"['李小璐', '为', '甜馨', '剪发']",
33,2020/01/01,2020 New Year's first flag-raising,2020新年第一场升旗,0,34,"['2020', '新年', '第一', '一场', '第一场', '升旗']",
34,2020/01/01,Wenna Female announced production,何雯娜宣布产女,0,35,"['何雯娜', '宣布', '产女']",
35,2020/01/01,Zheng Shuang lawyer sent a letter to Dick obediently,郑爽律师致信鲸乖乖,0,36,"['郑爽', '律师', '致信', '鲸', '乖乖']",
36,2020/01/01,Yang Mi Wolf disco concert,杨幂演唱野狼disco,0,37,"['杨幂', '演唱', '野狼', 'disco']",
37,2020/01/01,2020 first live flag-raising,2020第一场升旗直播,0,38,"['2020', '第一', '一场', '第一场', '升旗', '直播']",
38,2020/01/01,New Year's Day Lianbo women's volleyball tournament,元旦连播女排比赛,0,39,"['元旦', '连播', '女排', '比赛']",
39,2020/01/01,Jiamusi throwing snow carnival,佳木斯泼雪狂欢,0,40,"['佳木斯', '泼雪', '狂欢']",
40,2020/01/01,Hey Song Yang Kun Wu Xiubo party,吴秀波杨坤聚会嗨歌,0,41,"['吴秀波', '杨坤', '聚会', '嗨', '歌']",
41,2020/01/01,Xiao Zhan Zhang Yixing Chorus,肖战张艺兴合唱,0,42,"['肖战', '张艺兴', '合唱']",
42,2020/01/01,Sicong coming festival,王思聪现身音乐节,0,43,"['王思聪', '现身', '音乐', '音乐节']",
43,2020/01/01,Millet Pipan Pei 12 million,小米被判赔1200万,0,44,"['小米', '被判', '被判赔', '1200', '万']",
44,2020/01/01,Henan one hundred billion pig's richest man,河南千亿养猪首富,0,45,"['河南', '千亿', '养猪', '首富']",
45,2020/01/01,20th anniversary of Putin,普京执政20周年,0,46,"['普京', '执政', '20', '周年']",
46,2020/01/01,Huang Haibo and bid farewell to 2019,黄海波与2019告别,0,47,"['黄海', '海波', '黄海波', '与', '2019', '告别']",
47,2020/01/01,South Korea released the New Year amnesty,韩国发布新年特赦令,0,48,"['韩国', '发布', '新年', '特赦', '赦令', '特赦令']",
48,2020/01/01,Yang Zi singing in a trapeze,杨紫在高空秋千唱歌,0,49,"['杨紫在', '高空', '秋千', '唱歌']",
49,2020/01/01,The first was 30 years old after ninety,首批九零后已30岁,0,50,"['首批', '九零', '后', '已', '30', '岁']",
50,2020/01/02,Yang Mi Wei Taixun broadcast simultaneously,杨幂魏大勋同时播出,0,1,"['杨幂', '魏大勋', '同时', '播出']",
51,2020/01/02,Kim Hee Chul MOMO love,金希澈MOMO恋情,0,2,"['金希澈', 'MOMO', '恋情']",
52,2020/01/02,Henan into the center of rain and snow,河南成我国雨雪中心,0,3,"['河南', '成', '我国', '雨雪', '中心']",
53,2020/01/02,New Year's Eve was traced to lip-synching,跨年晚会被曝假唱,0,4,"['跨年', '晚会', '被', '曝', '假唱']",
54,2020/01/02,Zheng Shuang Zhang Heng exposing prosecution,曝郑爽起诉张恒,0,5,"['曝', '郑爽', '起诉', '张恒']",
55,2020/01/02,Ayumi Hamasaki announced the good news of a son,滨崎步宣布生子喜讯,0,6,"['滨崎步', '宣布', '生子', '喜讯']",
56,2020/01/02,Laba Festival,腊八节,0,7,"['腊八', '八节', '腊八节']",
57,2020/01/02,Chongqing residential building fire,重庆居民楼发生火灾,0,8,"['重庆', '居民', '居民楼', '发生', '火灾']",
58,2020/01/02,Chen and opposition to women's volleyball broadcast,陈忠和反对女排播出,0,9,"['陈忠和', '反对', '女排', '播出']",
59,2020/01/02,Jiamusi airport fire,佳木斯机场发生火灾,0,10,"['佳木斯', '机场', '发生', '火灾']",
60,2020/01/02,Zhang sun exposure status as,章子怡晒照曝近况,0,11,"['章子', '章子怡', '晒照', '曝', '近况']",
61,2020/01/02,Xiaozhan long sty,肖战长麦粒肿,0,12,"['肖战长', '麦粒', '麦粒肿']",
62,2020/01/02,Qingyu in finale,庆余年大结局,0,13,"['庆', '余年', '结局', '大结局']",
63,2020/01/02,Zhang Xin to take your shoes off in response to high-speed rail,张馨予回应高铁脱鞋,0,14,"['张馨予', '回应', '高铁', '脱鞋']",
64,2020/01/02,Taiwan Black Hawk helicopter crash,台湾黑鹰直升机坠机,0,15,"['台湾', '黑鹰', '直升', '升机', '直升机', '坠机']",
65,2020/01/02,Unicom ending 66 is fixed Liang,联通定尾号66为靓号,0,16,"['联通', '定', '尾号', '66', '为靓', '号']",
66,2020/01/02,2020 is a leap year double,2020年是双闰年,0,17,"['2020', '年', '是', '双', '闰年']",
67,2020/01/02,Wang Yibo exposure trampled floor,曝王一博踩坏地板,0,18,"['曝王', '一博', '踩坏', '地板']",
68,2020/01/02,Li Tie served as national football coach,李铁出任国足主教练,0,19,"['李铁', '出任', '国', '足', '主教', '教练', '主教练']",
69,2020/01/02,Tencent response to violence layoffs,腾讯回应暴力裁员,0,20,"['腾讯', '回应', '暴力', '裁员']",
70,2020/01/02,Woman arrested for insulting Chinese,女子侮辱华人被捕,0,21,"['女子', '侮辱', '华人', '被捕']",
71,2020/01/02,"Shenyang, a bus burst fire",沈阳一客车突发大火,0,22,"['沈阳', '一', '客车', '突发', '大火']",
72,2020/01/02,Why this change Kyung fast time,快本为何炅改时间,0,23,"['快本', '为何', '炅', '改', '时间']",
73,2020/01/02,Wenna Female announced production,何雯娜宣布产女,0,24,"['何雯娜', '宣布', '产女']",
74,2020/01/02,Malaysia Airlines responded after take-off return,马航回应起飞后返航,0,25,"['马航', '回应', '起飞', '后', '返航']",
75,2020/01/02,Tang Fei Hua Fei respond Juyan,唐一菲回应拒演华妃,0,26,"['唐一菲', '回应', '拒演华妃']",
76,2020/01/02,Day prenatal chairman of absconding,日产前董事长潜逃,0,27,"['日产', '前', '董事', '董事长', '潜逃']",
77,2020/01/02,Nicky an amusement Disney,吴奇隆一家游迪士尼,0,28,"['吴奇隆', '一家', '游', '迪士尼']",
78,2020/01/02,Pu Shouchang death,浦寿昌逝世,0,29,"['浦寿昌', '逝世']",
79,2020/01/02,Cecilia with three sons shopping,张柏芝带三儿子逛街,0,30,"['张柏芝', '带', '三', '儿子', '逛街']",
80,2020/01/02,Chang Cheng quit the association response,联想回应常程跳槽,0,31,"['联想', '回应', '常程', '跳槽']",
81,2020/01/02,Yang Mi Wolf disco concert,杨幂演唱野狼disco,0,32,"['杨幂', '演唱', '野狼', 'disco']",
82,2020/01/02,Dalian Wanda party to re-communicate,万达大连一方重沟通,0,33,"['万达', '大连', '一方', '重', '沟通']",
83,2020/01/02,Wedding pro dad humiliated father,婚礼上亲爸羞辱岳父,0,34,"['婚礼', '上', '亲爸', '羞辱', '岳父']",
84,2020/01/02,3.91 million to buy a mobile phone number,391万买一个手机号,0,35,"['391', '万买', '一个', '手机', '手机号']",
85,2020/01/02,Zheng Shuang lawyer sent a letter to Dick obediently,郑爽律师致信鲸乖乖,0,36,"['郑爽', '律师', '致信', '鲸', '乖乖']",
86,2020/01/02,Taobao Annual Statement released,淘宝年度账单出炉,0,37,"['淘宝', '年度', '账单', '出炉']",
87,2020/01/02,Diphtheria exposed new romance,曝白百何新恋情,0,38,"['曝白百何', '新', '恋情']",
88,2020/01/02,Chang Cheng served as vice president of millet,常程任小米副总裁,0,39,"['常程任', '小米', '副总', '总裁', '副总裁']",
89,2020/01/02,After starting to recognize love Kim Hee Chul text,金希澈认爱后首发文,0,40,"['金希澈', '认爱后', '首发', '文']",
90,2020/01/02,2019 China's most beautiful stars,2019中国最美星空,0,41,"['2019', '中国', '最美', '星空']",
91,2020/01/02,Chongqing real estate fire main identity,重庆火灾楼盘主身份,0,42,"['重庆', '火灾', '楼盘', '主', '身份']",
92,2020/01/02,Mike party denied the derailed,贺军翔方否认出轨,0,43,"['贺军翔', '方', '否认', '出轨']",
93,2020/01/02,Lu Lu Xin is sweet haircut,李小璐为甜馨剪发,0,44,"['李小璐', '为', '甜馨', '剪发']",
94,2020/01/02,Li Tie will be exposed football coach,曝李铁将执教国足,0,45,"['曝', '李铁', '将', '执教', '国', '足']",
95,2020/01/02,Wang Lei letter to employees,王中磊致员工信,0,46,"['王中磊致', '员工', '信']",
96,2020/01/02,"Throw a coin to pay 120,000 aircraft",向客机扔硬币赔12万,0,47,"['向', '客机', '扔', '硬币', '赔', '12', '万']",
97,2020/01/02,11 years of raising non-biological son,养11年儿子非亲生,0,48,"['养', '11', '年', '儿子', '非', '亲生']",
98,2020/01/02,Ni Ping ex-husband appeared Film Festival,倪萍前夫现身影展,0,49,"['倪萍', '前夫', '现身', '影展']",
99,2020/01/02,42 million people in Shanghai Bund New Year's Eve,42万人上海外滩跨年,0,50,"['42', '万人', '上海', '外滩', '跨年']",
100,2020/01/03,New Year's first Japan-China 1 billion award,新年首日中10亿大奖,0,1,"['新年', '首日', '中', '10', '亿', '大奖']",
101,2020/01/03,Chongqing real estate fire main identity,重庆火灾楼盘主身份,0,2,"['重庆', '火灾', '楼盘', '主', '身份']",
102,2020/01/03,"Shenyang, a bus burst fire",沈阳一客车突发大火,0,3,"['沈阳', '一', '客车', '突发', '大火']",
103,2020/01/03,Foshan response to congestion charging station,佛山回应收费站拥堵,0,4,"['佛山', '回应', '收费', '收费站', '拥堵']",
104,2020/01/03,Woman arrested for insulting Chinese,女子侮辱华人被捕,0,5,"['女子', '侮辱', '华人', '被捕']",
105,2020/01/03,Japan 5.6 earthquake,日本5.6级地震,0,6,"['日本', '5.6', '级', '地震']",
106,2020/01/03,Department who responded annual leave compensation,人社部回应年假补偿,0,7,"['人', '社部', '回应', '年', '假', '补偿']",
107,2020/01/03,8000 koalas were killed wildfires,8000只考拉丧生山火,0,8,"['8000', '只', '考拉', '丧生', '山火']",
108,2020/01/03,The girls lost to a beach park,一女生江滩公园失联,0,9,"['一', '女生', '江滩', '公园', '失联']",
109,2020/01/03,Sicong Sanya birthday,王思聪三亚庆生,0,10,"['王思聪', '三亚', '庆生']",
110,2020/01/03,Sun Yang response to drug test event,孙杨回应药检事件,0,11,"['孙杨', '回应', '药检', '事件']",
111,2020/01/03,Zhang Xuan official second child birth,章子怡官宣二胎产子,0,12,"['章子', '章子怡', '官宣', '二胎', '产子']",
112,2020/01/03,Trump ordered air strikes,特朗普下令实施空袭,0,13,"['特朗普', '下令', '实施', '空袭']",
113,2020/01/03,Tian exposed a renamed Li Tianyi,曝李天一改名李冠丰,0,14,"['曝李', '天一', '改名', '李冠丰']",
114,2020/01/03,Xu Jing drying as foreign boyfriend,许婧晒外籍男友照,0,15,"['许婧', '晒', '外籍', '男友', '照']",
115,2020/01/03,Iran three days of national mourning,伊朗全国哀悼3天,0,16,"['伊朗', '全国', '哀悼', '3', '天']",
116,2020/01/03,Courier will be divided into five grades,快递员将分5个等级,0,17,"['快递', '员', '将', '分', '5', '个', '等级']",
117,2020/01/03,Jinfu Jiang prosecution of ex-girlfriend,蒋劲夫起诉前女友,0,18,"['蒋劲夫', '起诉', '女友', '前女友']",
118,2020/01/03,The US State Department issued an urgent warning,美国务院发紧急警告,0,19,"['美国', '国务', '国务院', '美国务院', '发', '紧急', '警告']",
119,2020/01/03,Li Qin style uniforms on line,李沁警服造型上线,0,20,"['李沁', '警服', '造型', '上线']",
120,2020/01/03,Zhang Ziyi two sub-exposure viviparous,曝章子怡二胎生子,0,21,"['曝', '章子', '章子怡', '二胎', '生子']",
121,2020/01/03,Tencent response to violence layoffs,腾讯回应暴力裁员,0,22,"['腾讯', '回应', '暴力', '裁员']",
122,2020/01/03,One night lost one hundred thousand collapse into tears,一晚输十万崩溃大哭,0,23,"['一晚', '输', '十万', '崩溃', '大哭']",
123,2020/01/03,Chang Cheng quit millet response,小米回应常程跳槽,0,24,"['小米', '回应', '常程', '跳槽']",
124,2020/01/03,Even behind Chen and Zhao Ruirui,赵蕊蕊力挺陈忠和,0,25,"['赵蕊蕊力', '挺', '陈忠和']",
125,2020/01/03,Xiaozhan withdrawal suspect settlement,肖战撤诉疑达成和解,0,26,"['肖战', '撤诉', '疑', '达成', '和解']",
126,2020/01/03,Wuhan informed pneumonia,武汉通报肺炎事件,0,27,"['武汉', '通报', '肺炎', '事件']",
127,2020/01/03,Gu Ying Lee is now playing the game,李现孤影打游戏,0,28,"['李现', '孤影', '游戏', '打游戏']",
128,2020/01/03,B Station greatly increased the market value of 5 billion,B站市值大增50亿,0,29,"['B', '站', '市值', '大增', '50', '亿']",
129,2020/01/03,Army Wolf disco version,陆军版野狼disco,0,30,"['陆军', '版', '野狼', 'disco']",
130,2020/01/03,Chang Cheng quit the association response,联想回应常程跳槽,0,31,"['联想', '回应', '常程', '跳槽']",
131,2020/01/03,Deng Chao Sun Li sweet confession,邓超甜蜜表白孙俪,0,32,"['邓超', '甜蜜', '表白', '孙俪']",
132,2020/01/03,Li talk about New Year's Eve finale,李宇春谈跨年压轴,0,33,"['李宇春', '谈', '跨', '年', '压轴']",
133,2020/01/03,2020 wave of large-scale rain and snow,2020首波大规模雨雪,0,34,"['2020', '首波', '大规', '规模', '大规模', '雨雪']",
134,2020/01/03,3.91 million to buy a mobile phone number,391万买一个手机号,0,35,"['391', '万买', '一个', '手机', '手机号']",
135,2020/01/03,Korea was 5G user Tucao,韩国5G遭用户吐槽,0,36,"['韩国', '5G', '遭', '用户', '吐槽']",
136,2020/01/03,Fu Seoul to talk about a second child,傅首尔谈生二胎,0,37,"['傅', '首尔', '谈', '二胎', '生二胎']",
137,2020/01/03,"Iraq attacked Iran, Major General",伊朗少将伊拉克遇袭,0,38,"['伊朗', '少将', '伊拉', '拉克', '伊拉克', '遇袭']",
138,2020/01/03,2020 Marine Corps MV,2020海军陆战队MV,0,39,"['2020', '海军', '陆战', '战队', '陆战队', '海军陆战队', 'MV']",
139,2020/01/03,Married guy just put four tables wine,小伙结婚只摆4桌酒,0,40,"['小伙', '结婚', '只', '摆', '4', '桌酒']",
140,2020/01/03,Jiamusi airport fire,佳木斯机场发生火灾,0,41,"['佳木斯', '机场', '发生', '火灾']",
141,2020/01/03,Zhang Xin to take your shoes off in response to high-speed rail,张馨予回应高铁脱鞋,0,42,"['张馨予', '回应', '高铁', '脱鞋']",
142,2020/01/03,Henan into the center of rain and snow,河南成我国雨雪中心,0,43,"['河南', '成', '我国', '雨雪', '中心']",
143,2020/01/03,Chen and opposition to women's volleyball broadcast,陈忠和反对女排播出,0,44,"['陈忠和', '反对', '女排', '播出']",
144,2020/01/03,Baghdad airport attacked,巴格达机场遭袭,0,45,"['巴格', '格达', '巴格达', '机场', '遭袭']",
145,2020/01/03,Malaysia Airlines responded after take-off return,马航回应起飞后返航,0,46,"['马航', '回应', '起飞', '后', '返航']",
146,2020/01/03,Tianjin women's volleyball team Teng News Network,天津女排登新闻联播,0,47,"['天津', '女排', '天津女排', '登', '新闻', '联播', '新闻联播']",
147,2020/01/03,Unicom ending 66 is fixed Liang,联通定尾号66为靓号,0,48,"['联通', '定', '尾号', '66', '为靓', '号']",
148,2020/01/03,China market capitalization of 500 released,中国市值500强出炉,0,49,"['中国', '市值', '500', '强', '出炉']",
149,2020/01/03,Taiwan Blackhawk black box found,台黑鹰黑匣子已找到,0,50,"['台', '黑鹰', '黑匣', '匣子', '黑匣子', '已', '找到']",
150,2020/01/04,2020's first large-scale rain and snow,2020首场大范围雨雪,0,1,"['2020', '首场', '大', '范围', '雨雪']",
151,2020/01/04,Jinfu Jiang vocal ex-girlfriend,蒋劲夫前女友发声,0,2,"['蒋劲夫', '女友', '前女友', '发声']",
152,2020/01/04,"77-year-old professor of naked tax 82,080,000",77岁教授裸捐8208万,0,3,"['77', '岁', '教授', '裸捐', '8208', '万']",
153,2020/01/04,Li Qin style uniforms on line,李沁警服造型上线,0,4,"['李沁', '警服', '造型', '上线']",
154,2020/01/04,Putin to talk about the attack on Iranian military officers,普京谈伊朗军官遇袭,0,5,"['普京', '谈', '伊朗', '军官', '遇袭']",
155,2020/01/04,Li Landi in tears,李兰迪被气哭,0,6,"['李兰迪', '被', '气', '哭']",
156,2020/01/04,Major attack on Iran exposed details,曝伊朗少将遇袭细节,0,7,"['曝', '伊朗', '少将', '遇袭', '细节']",
157,2020/01/04,Ma Tianyu Zhang Han lifted,马天宇举起张翰,0,8,"['马', '天宇', '举起', '张翰']",
158,2020/01/04,One person then approved the national football,白岩松再批国足,0,9,"['白岩松', '再', '国足', '批国足']",
159,2020/01/04,Cities in the United States increased vigilance,美各城市加强警戒,0,10,"['美', '各', '城市', '加强', '警戒']",
160,2020/01/04,CBA to open heavy fines,CBA再开重磅罚单,0,11,"['CBA', '再开', '重磅', '罚单']",
161,2020/01/04,Sulaymaniyah remains will transport,苏莱曼尼遗体将转运,0,12,"['莱曼', '苏莱曼', '尼', '遗体', '将', '转运']",
162,2020/01/04,Air China responded disclosure of information,国航回应泄露信息,0,13,"['国航', '回应', '泄露', '信息']",
163,2020/01/04,Iran said it would retaliate United States,伊朗称将报复美国,0,14,"['伊朗', '称', '将', '报复', '美国']",
164,2020/01/04,On the high-speed toll abnormal official,官方谈高速收费异常,0,15,"['官方', '谈', '高速', '收费', '异常']",
165,2020/01/04,Zhu Yuling victory over Meng,朱雨玲战胜陈梦,0,16,"['朱雨玲', '战胜', '陈梦']",
166,2020/01/04,Xiaozhan sun cat to visit the set photos,肖战晒猫探班照片,0,17,"['肖战', '晒', '猫', '探班', '照片']",
167,2020/01/04,"People's Daily, the three asked ETC",人民日报三问ETC,0,18,"['人民', '日报', '人民日报', '三问', 'ETC']",
168,2020/01/04,Washington on alert,华盛顿进入戒备状态,0,19,"['华盛', '华盛顿', '进入', '戒备', '状态', '戒备状态']",
169,2020/01/04,Zhu Yuling strong win,朱雨玲强势夺冠,0,20,"['朱雨玲', '强势', '夺冠']",
170,2020/01/04,Sulejmani funeral,苏莱曼尼葬礼举行,0,21,"['莱曼', '苏莱曼', '尼', '葬礼', '举行']",
171,2020/01/04,Wuhan informed pneumonia,武汉通报肺炎事件,0,22,"['武汉', '通报', '肺炎', '事件']",
172,2020/01/04,Iran three days of national mourning,伊朗全国哀悼3天,0,23,"['伊朗', '全国', '哀悼', '3', '天']",
173,2020/01/04,The US State Department issued an urgent warning,美国务院发紧急警告,0,24,"['美国', '国务', '国务院', '美国务院', '发', '紧急', '警告']",
174,2020/01/04,Zhang Ziyi suspect was traced to the delivery room,章子怡产房疑被曝,0,25,"['章子', '章子怡', '产房', '疑', '被', '曝']",
175,2020/01/04,New drops suspended driver review,滴滴暂停新司机审核,0,26,"['滴滴', '暂停', '新', '司机', '审核']",
176,2020/01/04,Iranians burning the American flag,伊朗人焚烧美国国旗,0,27,"['伊朗', '伊朗人', '焚烧', '美国', '国旗']",
177,2020/01/04,Jiayin Lei couple with box,雷佳音夫妇同框,0,28,"['雷', '佳音', '夫妇', '同框']",
178,2020/01/04,Fan Bingbing Li to further cooperation,范冰冰李玉再合作,0,29,"['冰冰', '范冰冰', '李玉', '再', '合作']",
179,2020/01/04,Black Box Black Hawk completed initial impression,黑鹰黑匣子初判完成,0,30,"['黑鹰', '黑匣', '匣子', '黑匣子', '初判', '完成']",
180,2020/01/04,12 year-old boy saved the whole building residents,12岁少年救整楼居民,0,31,"['12', '岁', '少年', '救', '整楼', '居民']",
181,2020/01/04,Amber recalls Shirley,Amber回忆雪莉,0,32,"['Amber', '回忆', '雪莉']",
182,2020/01/04,"Hebei, a woman was kept for 20 years",河北一女子被关20年,0,33,"['河北', '一', '女子', '被关', '20', '年']",
183,2020/01/04,Zhao Liying hate rainbow fart fans,赵丽颖怼粉丝彩虹屁,0,34,"['赵丽颖', '怼', '粉丝', '彩虹', '屁']",
184,2020/01/04,Trump ordered air strikes,特朗普下令实施空袭,0,35,"['特朗普', '下令', '实施', '空袭']",
185,2020/01/04,Jinfu Jiang prosecution of ex-girlfriend,蒋劲夫起诉前女友,0,36,"['蒋劲夫', '起诉', '女友', '前女友']",
186,2020/01/04,Xiaozhan withdrawal suspect settlement,肖战撤诉疑达成和解,0,37,"['肖战', '撤诉', '疑', '达成', '和解']",
187,2020/01/04,Wu Lei hasty shave,吴磊匆忙刮胡子,0,38,"['吴磊', '匆忙', '胡子', '刮胡子']",
188,2020/01/04,Zhang Xuan official second child birth,章子怡官宣二胎产子,0,39,"['章子', '章子怡', '官宣', '二胎', '产子']",
189,2020/01/04,Tong Yao seconds delete eat melon article,童瑶秒删吃瓜文章,0,40,"['童瑶', '秒', '删吃瓜', '文章']",
190,2020/01/04,"Shenyang, a bus burst fire",沈阳一客车突发大火,0,41,"['沈阳', '一', '客车', '突发', '大火']",
191,2020/01/04,Deng Chao appeared in a family of four,邓超一家四口现身,0,42,"['邓超', '一家', '四口', '现身']",
192,2020/01/04,He noted Qingyu in error,医生指出庆余年错误,0,43,"['医生', '指出', '庆', '余年', '错误']",
193,2020/01/04,Fan Bingbing debut feather cloak,范冰冰羽毛披风亮相,0,44,"['冰冰', '范冰冰', '羽毛', '披风', '亮相']",
194,2020/01/04,One night lost one hundred thousand collapse into tears,一晚输十万崩溃大哭,0,45,"['一晚', '输', '十万', '崩溃', '大哭']",
195,2020/01/04,Boiled Yellow River in Inner Mongolia now,内蒙古现水煮黄河,0,46,"['内蒙', '蒙古', '内蒙古', '现水', '煮', '黄河']",
196,2020/01/04,Jimmy Lin sing classical repertoire,林志颖再唱经典曲目,0,47,"['林志颖', '再', '唱', '经典', '曲目']",
197,2020/01/04,Courier will be divided into five grades,快递员将分5个等级,0,48,"['快递', '员', '将', '分', '5', '个', '等级']",
198,2020/01/04,Basketball subsequent conflict Jiangsu,江苏男篮冲突后续,0,49,"['江苏', '男篮', '冲突', '后续']",
199,2020/01/04,Karena Ng Raymond talk about marriage,吴千语谈林峯结婚,0,50,"['吴千语', '谈林', '峯', '结婚']",
200,2020/01/05,Sulejmani funeral,苏莱曼尼葬礼举行,0,1,"['莱曼', '苏莱曼', '尼', '葬礼', '举行']",
201,2020/01/05,Iran said it would retaliate United States,伊朗称将报复美国,0,2,"['伊朗', '称', '将', '报复', '美国']",
202,2020/01/05,Zhao Liying hate rainbow fart fans,赵丽颖怼粉丝彩虹屁,0,3,"['赵丽颖', '怼', '粉丝', '彩虹', '屁']",
203,2020/01/05,"Hebei, a woman was kept for 20 years",河北一女子被关20年,0,4,"['河北', '一', '女子', '被关', '20', '年']",
204,2020/01/05,QG win Flying Cow tears,QG夺冠飞牛落泪,0,5,"['QG', '夺冠', '飞牛', '落泪']",
205,2020/01/05,Zhu Yuling strong win,朱雨玲强势夺冠,0,6,"['朱雨玲', '强势', '夺冠']",
206,2020/01/05,New drops suspended driver review,滴滴暂停新司机审核,0,7,"['滴滴', '暂停', '新', '司机', '审核']",
207,2020/01/05,Zhuhai Xiangzhou 3.5 earthquake,珠海香洲3.5级地震,0,8,"['珠海', '香洲', '3.5', '级', '地震']",
208,2020/01/05,The attack on the Iraqi capital,伊拉克首都遭袭击,0,9,"['伊拉', '拉克', '伊拉克', '首都', '遭', '袭击']",
209,2020/01/05,Pique compliments on things Wu Lei,皮克摸头致意武磊,0,10,"['皮克', '摸头', '致意', '武磊']",
210,2020/01/05,Iran received US letter,伊朗接到美国信件,0,11,"['伊朗', '接到', '美国', '信件']",
211,2020/01/05,Zheng Shuang makeup to play the piano,郑爽素颜弹钢琴,0,12,"['郑爽', '素颜', '钢琴', '弹钢琴']",
212,2020/01/05,Ma Rong won fans flowers,马蓉获粉丝送花,0,13,"['马蓉', '获', '粉丝', '送花']",
